"UKA_app1.UKA1.contrast","UKA_app1.UKA1.Sgroup_contrast","UKA_app1.UKA1.Kinase Name","UKA_app1.UKA1.Kinase Uniprot ID","UKA_app1.UKA1.Kinase entrezid","UKA_app1.UKA1.Kinase Group","UKA_app1.UKA1.Kinase Family","UKA_app1.UKA1.Median Final score","UKA_app1.UKA1.Final score rank","UKA_app1.UKA1.Mean Significance Score","UKA_app1.UKA1.Mean Specificity Score","UKA_app1.UKA1.Median Kinase Statistic","UKA_app1.UKA1.Median Kinase Change","UKA_app1.UKA1.Mean peptide set size","UKA_app1.UKA1.Max Final score","UKA_app1.UKA1.SD Kinase Statistic","UKA_app1.UKA1.Mean Kinase Statistic"
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKG2","Q13237",5593,"AGC","PKG",2.5528419686577806,4,1.0,1.8007692958489292,2.943535572299743,0.35720498331131717,31.0,3.6989700043360187,0.1698642404270827,2.9431835429330495
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKX","P51817",5613,"AGC","PKA",2.376750709602099,6,1.0,1.2414269981278803,2.8526145694059104,0.3708084537869398,27.0,2.6989700043360187,0.1142739398270483,2.8094931446734646
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PRKY","O43930",,"AGC","PKA",1.4584207560534193,36,1.0,0.4413996157524244,2.5641360164773745,0.3989006148444374,8.0,1.6861327796308467,0.1831141920022389,2.4989998763881696
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","PSKH1","P11801",5681,"CAMK","PSK",1.4586001365392356,35,1.0,0.45863962373033484,2.5810122204705745,0.44504731231263783,4.0,1.473660722610156,0.01638972969788088,2.5810122204705745
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","RAF1","P04049",5894,"TKL","RAF",0.8833922560117514,79,0.7324177816320167,0.1922746617152104,1.7950524674321926,0.34220261573791433,5.0,1.2839966563652008,0.1357225375645513,1.840293313287043
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","ROCK1","Q13464",6093,"AGC","DMPK",0.57154122648442,89,0.7137272471682026,0.2817210617709506,0.888143187282517,0.15503735012478467,3.0,1.6536470255493614,1.1095236436828733,1.6984246909230956
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","ROCK2","O75116",9475,"AGC","DMPK",1.5114492834995557,30,0.8795880017344075,0.4374028250004688,2.5251863503498386,0.13292801380157182,4.0,1.6234230429434882,0.8336490006967925,2.343541457034981
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","RPS6KA1","Q15418",6195,"AGC-CAMK","RSK",1.2856702402547668,47,1.0,0.4202129643282362,2.1830510292019905,0.3308476092768724,16.0,1.744727494896694,0.30387003224584047,2.3199348991727167
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","RPS6KA2","Q15349",6196,"AGC-CAMK","RSK",1.744727494896694,17,1.0,1.110864916058273,2.8348367633880662,0.3247306700106003,16.0,2.795880017344075,0.2504848159142266,2.9652282924599236
"Stretch vs C_Soft","C_WT_Stretch vs C_Soft","RPS6KA3","P51812",6197,"AGC-CAMK","RSK",2.376750709602099,7,1.0,0.9405720586117541,2.9734689859909698,0.28058599814391305,16.0,2.585026652029182,0.5182587987322473,2.7302268297984904
