"UKA_app10.UKA10.contrast","UKA_app10.UKA10.Sgroup_contrast","UKA_app10.UKA10.Kinase Name","UKA_app10.UKA10.Kinase Uniprot ID","UKA_app10.UKA10.Kinase entrezid","UKA_app10.UKA10.Kinase Group","UKA_app10.UKA10.Kinase Family","UKA_app10.UKA10.Median Final score","UKA_app10.UKA10.Final score rank","UKA_app10.UKA10.Mean Significance Score","UKA_app10.UKA10.Mean Specificity Score","UKA_app10.UKA10.Median Kinase Statistic","UKA_app10.UKA10.Median Kinase Change","UKA_app10.UKA10.Mean peptide set size","UKA_app10.UKA10.Max Final score","UKA_app10.UKA10.SD Kinase Statistic","UKA_app10.UKA10.Mean Kinase Statistic"
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK11A","Q9UQ88",728642,"CMGC","CDK",0.39941922028578797,90,0.41112454310184643,0.027426837309535386,0.28773537466002097,0.14988426367441976,4.0,0.5466755431723493,0.06508385039591467,0.3297468194417597
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK13","Q14004",8621,"CMGC","CDK",0.39962468642733984,89,0.3612549876029095,0.03836969882443033,-0.41266053618820975,-0.18105242153008744,4.0,0.45366466291323904,0.06511300018360217,-0.41266053618820975
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK15","Q96Q40",65061,"CMGC","CDK",1.5020756574247385,37,1.2375453477915381,0.2888184656360579,1.109657390453699,0.3109262684980889,4.0,1.755277677230002,0.002102902968999324,1.1103583581100323
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK17","Q00537",5128,"CMGC","CDK",0.5952210010923561,80,0.5436339668709571,0.05158703422139897,0.46224355007867596,0.07626092433929355,3.0,0.5952210010923561,,0.46224355007867596
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK18","Q07002",5129,"CMGC","CDK",0.7716817851372066,72,0.6615435063953952,0.11013827874181153,0.7070492109851375,0.12701209386189483,3.0,0.7716817851372066,,0.7070492109851375
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK2","P24941",1017,"CMGC","CDK",0.16494389827988373,97,0.17784196490347517,0.003701663631451229,0.17476713429759355,0.023897220691045273,7.0,0.30551062837259946,0.16661199255443698,0.10312896424375143
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK3","Q00526",1018,"CMGC","CDK",0.7456936676687144,74,0.6831938692526921,0.058112496083022325,0.562359092349326,0.06495722929635442,5.0,1.0980624210009846,0.13658894518567788,0.5715694248782769
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK4","P11802",1019,"CMGC","CDK",0.5483486311105064,86,0.5160320327929035,0.06392444834902025,0.4793337210949262,0.07770179377661328,3.0,0.8354092398097763,0.08104257746538805,0.5063479135833889
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK5","Q00535",1020,"CMGC","CDK",0.2639670228225015,95,0.24724055950516804,0.01683705339240186,0.2446776115832675,0.027307331562038906,4.0,0.27466018409026277,0.0,0.2446776115832675
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK6","Q00534",1021,"CMGC","CDK",1.044600913360733,67,0.8839712947043712,0.10157397068000922,0.7335174320007103,0.1021335621674766,4.0,1.084241479111726,0.133652395951406,0.6889666333502417
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK7","P50613",1022,"CMGC","CDK",0.3142331894503355,92,0.2391895826531847,0.0016467845842336036,0.3036062971133941,0.05912609100341282,9.0,0.368881058587538,0.13255297451079848,0.2408179221879483
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK9","P50750",1025,"CMGC","CDK",0.28394320802572,94,0.26202149400307384,0.023018327724172602,-0.26201154440148056,-0.07302041848500762,4.0,0.3211539751639583,0.02860731933764213,-0.2810830906265753
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL1","Q00532",8814,"CMGC","CDKL",0.6972968547411518,77,0.6872418573501266,0.06550115697892968,0.544814135455781,0.08898554245630907,4.0,0.8703616591666451,0.02679052518852869,0.5643791687533376
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL4","Q5MAI5",344387,"CMGC","CDKL",0.00043472935631444574,99,0.0,0.00043472935631444574,0.004452739062300519,-0.13837330871157624,3.0,0.0008694587126288915,0.0,0.004452739062300519
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL5","O76039",6792,"CMGC","CDKL",0.5089746643717004,88,0.5272739377257947,0.06691092658011948,0.5191493561394157,0.27474891146024016,4.0,0.9540202075690142,0.20267190739834687,0.5506137748369918
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHEK1","O14757",1111,"CAMK","CAMKL",0.605478277325087,79,0.5798575365897825,0.017528069116471593,0.38171718799084314,0.1518276333808899,6.0,1.5041782466140943,0.18621728979245925,0.3590050990961668
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHEK2","O96017",11200,"CAMK","RAD53",1.3864541486726318,48,1.2375453477915381,0.15721179261824364,1.0152738537014074,0.2362503636450944,16.0,1.5560801988969766,0.053957290009954244,1.0050088667917867
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHUK","O15111",1147,"OTHER","IKK",2.938547520912807,9,1.5798613746054597,1.3686720423445482,2.011820913893553,0.537290990352624,4.0,3.3565473235138126,0.15351494169347446,2.114164208355869
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","COQ8A","Q8NI60",56997,"Atypical","NA",0.37089634982286357,91,0.38340654912625377,0.005262929537571846,0.29612436808823883,0.11132459342479606,7.0,0.6620857167395626,0.10093379122480356,0.3049621770614124
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CSNK1A1","P48729",1452,"CK1","CK1",1.733298033115912,28,1.2093669760431112,0.4939469382428214,1.2937952029442528,0.3666152755419394,7.0,1.9965394678904935,0.17657463881335236,1.2664202765666663
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DAPK2","Q9UIK4",23604,"CAMK","DAPK",0.7344511015189041,75,0.6138695343959634,0.11635473746918788,0.7113632848126974,0.2691634496053057,3.0,0.7712301861646306,0.0,0.7113632848126974
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DAPK3","O43293",1613,"CAMK","DAPK",2.0150228735845066,22,1.853871964321762,0.16115090926274472,0.8857127967680691,0.0872404575347853,3.0,2.0150228735845066,,0.8857127967680691
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DCLK2","Q8N568",166614,"CAMK","DCAMKL",1.5617425278931123,33,1.226082480151767,0.3906268363325686,1.1526452788565633,0.2115458647409994,8.0,2.0369681249461014,0.2612963897699223,1.219225526576179
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","GSK3B","P49841",2932,"CMGC","GSK",1.1762650116012687,61,0.9655408220145292,0.19311837464307782,0.9085967051917171,0.26096852620442385,3.0,1.2561767783962496,0.0,0.9085967051917171
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","IKBKB","O14920",3551,"OTHER","IKK",2.8873949984654255,11,1.4757568976072026,1.3761458652961416,2.2237722181699717,0.5809944470723399,3.0,3.0213630516155257,0.130984879013457,2.1651939994702367
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","IKBKE","Q14164",9641,"OTHER","IKK",1.4122890349810886,45,1.0860686402637167,0.344469010518399,1.2187976022152553,0.4984794934590715,5.0,1.5683146553139882,0.0955167163868723,1.170661701718274
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK1","P28482",5594,"CMGC","MAPK",0.7956787879762893,70,0.9311489701713991,0.07458671720654195,0.5912831583318988,0.10222770865001486,7.0,2.0343280287798935,0.24544017786573613,0.6439656424712124
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK10","P53779",5602,"CMGC","MAPK",0.5558739767394277,84,0.5572373529571237,0.0031036923226028306,0.3859692152480671,0.12831428556731259,11.0,0.6160697944652794,0.026426071159933884,0.39928670332762545
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK11","Q15759",5600,"CMGC","MAPK",1.487836637698961,38,1.2724252394100861,0.215411398288875,0.9375016731823833,0.28176306353675723,3.0,1.5476614561540005,0.0,0.9375016731823833
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK12","P53778",6300,"CMGC","MAPK",0.5467428324978769,87,0.5136386682119739,0.035157489954101215,0.4015063038925657,0.02248710393906017,5.0,1.1381311857174086,0.26423043232965154,0.37716895353611224
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK13","O15264",5603,"CMGC","MAPK",1.2073282108584327,56,1.1480286648702565,0.2215805140263802,0.7372568394298558,0.19024201234182023,6.0,1.8981155128324578,0.35153987742078646,0.9300080515436714
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK14","Q16539",1432,"CMGC","MAPK",0.5779882910299999,81,0.6356588930514244,0.0285699635026748,0.4213430416272428,0.21594580676820327,6.0,0.9685107442902501,0.07048937497379516,0.4479820870030002
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK3","P27361",5595,"CMGC","MAPK",0.9453563084650809,68,0.9269965733867308,0.12708819147127462,0.8102342138984866,0.19035741261073585,7.0,1.5895939729316428,0.1685341135652353,0.83836605007673
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK7","Q13164",5598,"CMGC","MAPK",0.17220956217730904,96,0.3400107076583423,0.019327217071394384,0.17476713429759355,0.06586885452270397,5.0,0.8775612956944777,0.20478658281909073,0.2899788282650378
