"UKA_app0.UKA0.contrast","UKA_app0.UKA0.Sgroup_contrast","UKA_app0.UKA0.Kinase Name","UKA_app0.UKA0.Kinase Uniprot ID","UKA_app0.UKA0.Kinase entrezid","UKA_app0.UKA0.Kinase Group","UKA_app0.UKA0.Kinase Family","UKA_app0.UKA0.Median Final score","UKA_app0.UKA0.Final score rank","UKA_app0.UKA0.Mean Significance Score","UKA_app0.UKA0.Mean Specificity Score","UKA_app0.UKA0.Median Kinase Statistic","UKA_app0.UKA0.Median Kinase Change","UKA_app0.UKA0.Mean peptide set size","UKA_app0.UKA0.Max Final score","UKA_app0.UKA0.SD Kinase Statistic","UKA_app0.UKA0.Mean Kinase Statistic"
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CAMK4","Q16566",814,"CAMK","CAMK1",2.4495270428934366,12,1.3187587626244128,1.0368921483867917,2.4848065517342244,0.3765397071838521,9.0,2.6753060861382254,0.17989689136007872,2.3388046067682833
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK1","P06493",983,"CMGC","CDK",0.3840751865286519,86,0.5302576826895509,0.01296756531229647,0.6968552401082488,0.13959375449589398,7.0,0.944010416614309,0.2106319333390806,0.6995600112732575
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK10","Q15131",8558,"CMGC","CDK",1.5112237345555595,53,1.3187587626244128,0.20775372928412736,1.3388217794270236,0.2952366669972791,4.0,1.6232770861342154,0.15437798649959394,1.4670158304967915
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK11A","Q9UQ88",728642,"CMGC","CDK",0.1875581919520241,93,0.21715902357096326,0.017559033249238964,0.33211792320288636,0.09623122215270974,4.0,0.33441900898204685,0.0324352947087373,0.35305481590893123
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK13","Q14004",8621,"CMGC","CDK",0.06801957901558925,96,0.06627804185793146,0.001741537157657791,0.09056682218668011,0.10063687463601556,4.0,0.10829755291824823,0.010731672070531703,0.09056682218668011
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK15","Q96Q40",65061,"CMGC","CDK",1.7145327095399427,40,1.3187587626244128,0.37681051022081014,1.9039789199570598,0.3963752686977413,4.0,1.7822003200528829,0.18838571351001207,1.841183682120389
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK17","Q00537",5128,"CMGC","CDK",0.4174276058653257,84,0.3726341434072674,0.04479346245805826,0.6146987280926546,0.14808392524719594,3.0,0.4174276058653257,,0.6146987280926546
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK18","Q07002",5129,"CMGC","CDK",0.5340226317141772,81,0.46852108295774486,0.06550154875643228,0.7474350978067695,0.1846925814946534,3.0,0.5340226317141772,,0.7474350978067695
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK2","P24941",1017,"CMGC","CDK",0.9807008872046566,71,0.9179940712939041,0.02210114935769265,0.8588219951074033,0.14215239882469566,7.0,1.3965524851853965,0.1347699985340812,0.8489770072603061
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK3","Q00526",1018,"CMGC","CDK",0.5036682640122209,82,0.5520871096854303,0.023999598185094628,0.6565629593274068,0.10445539951325351,5.0,1.3862849979472596,0.09709977993772186,0.6672315087339746
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK4","P11802",1019,"CMGC","CDK",0.39766214910919845,85,0.47775910109806136,0.036727557765193666,0.39752383729808366,0.04805350303650228,3.0,1.4255520095645648,0.25739907929614125,0.48332353039679743
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK5","Q00535",1020,"CMGC","CDK",0.1499225790152517,94,0.1402614338028531,0.008974696449690801,0.24708389393331226,0.026173830032351075,4.0,0.15081161613616131,0.0,0.24708389393331226
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK6","Q00534",1021,"CMGC","CDK",1.4156687756324693,61,1.3187587626244128,0.09560254370831059,1.0633146501798754,0.11831426620483909,4.0,1.4311414622886767,0.09348128682340076,1.0321542212387418
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK7","P50613",1022,"CMGC","CDK",0.3752477590099541,87,0.5721396566794134,0.006756109759589924,0.7263843434859366,0.15137933492660965,9.0,1.3383008703483128,0.27719338265351795,0.6604960198254591
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDK9","P50750",1025,"CMGC","CDK",0.14814994601590345,95,0.1402614338028531,0.01243852297344883,-0.19315619175218776,-0.0632804632186883,4.0,0.17177848524891798,0.05614034676677841,-0.2305830895967067
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL1","Q00532",8814,"CMGC","CDKL",0.9867244855968949,70,1.0324860097926154,0.1869934158439823,1.216798320877369,0.2876116335392025,4.0,1.5928471303293645,0.19429694482560517,1.3586927469244632
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL4","Q5MAI5",344387,"CMGC","CDKL",0.19070205387154768,92,0.1752235375244543,0.015478516347093381,0.278939684244833,0.1015002330144285,3.0,0.1929523044848859,0.0,0.278939684244833
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CDKL5","O76039",6792,"CMGC","CDKL",0.8471004036062525,76,0.7242676963519386,0.11093577182796513,1.0726401289570076,0.24810865521430903,4.0,1.5583362792012008,0.5619006336447839,0.9798738961574613
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHEK1","O14757",1111,"CAMK","CAMKL",0.7153978382760323,78,0.6539304775787298,0.02858429899262773,0.827557340397428,0.15370490153631655,6.0,0.9965394678904935,0.20070605706739786,0.7952556738277677
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHEK2","O96017",11200,"CAMK","RAD53",1.5815661199196756,51,1.3187587626244128,0.22801205426973647,1.680372326520928,0.28103149854220644,16.0,1.6339134009800005,0.12009602243343727,1.6173411671968332
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CHUK","O15111",1147,"OTHER","IKK",2.030957032694187,25,1.3187587626244128,0.6605088771310706,2.3973938317568315,0.5052941739559005,4.0,2.1544059068399757,0.20034275163172277,2.263831997335683
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","COQ8A","Q8NI60",56997,"Atypical","NA",0.31419379359997607,89,0.3597076576527788,0.0055740837786522205,0.5036905626211676,0.1269005388021457,7.0,0.7606504609938632,0.11774409569685462,0.5347688539367408
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","CSNK1A1","P48729",1452,"CK1","CK1",1.7697555005986252,35,1.2303276495861823,0.4468710932111912,1.8689309867539987,0.3880007096699188,7.0,1.8971548357545818,0.09375121656947837,1.8764310370212782
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DAPK2","Q9UIK4",23604,"CAMK","DAPK",1.1687709863665683,63,0.9208187539523752,0.2520789827035467,1.5664628570749553,0.24901783466338992,3.0,1.199833009798636,0.0,1.5664628570749553
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DAPK3","O43293",1613,"CAMK","DAPK",1.7232625407988387,38,1.3187587626244128,0.40450377817442584,1.9711347801275672,0.20668121178945587,3.0,1.7232625407988387,,1.9711347801275672
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","DCLK2","Q8N568",166614,"CAMK","DCAMKL",1.6232770861342154,46,1.3187587626244128,0.3593185914188245,1.7277731002831223,0.26737215783862556,8.0,2.0177287669604316,0.3306413547866168,1.832670531593756
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","GSK3B","P49841",2932,"CMGC","GSK",1.584759476086026,50,1.3187587626244128,0.26349000127668,1.6163278992363583,0.33229470252990784,3.0,1.6111885865264766,0.0,1.6163278992363583
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","IKBKB","O14920",3551,"OTHER","IKK",1.8747139667063366,30,1.3187587626244128,0.6011553033205563,2.1707302719655948,0.4844064315160003,3.0,2.1544059068399757,0.15014261451362002,2.237876090439995
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","IKBKE","Q14164",9641,"OTHER","IKK",1.639330866012294,45,1.3187587626244128,0.348089393164131,1.721651152251566,0.30839483737944845,5.0,1.7746907182741372,0.0998723885913311,1.7719821052143596
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK1","P28482",5594,"CMGC","MAPK",0.4955671994097054,83,0.5880470639315389,0.013541147692997529,0.6582213986422453,0.022238453229274164,6.0,0.9807008872046566,0.17646125898256504,0.6828670165334267
"LMNA vs C_WT","C_Soft_LMNA vs C_WT","MAPK10","P53779",5602,"CMGC","MAPK",0.944010416614309,73,0.9208187539523752,0.026818620403464416,1.0536415834821489,0.1798477823084075,11.0,0.9617773616312816,0.03830045366703367,1.0729431978638484
